Ack,Android_ID,App_Name,At_Home,Current_Activity,Latency,Goal_Alignment,Intervention_Type,Sleepiness,Prolific_ID,Rshci 1,Rshci 2,Rshci 3,Rshci 4,Rshci 5,Valence,Satisfaction,Agency,Multitasking,Social_Situation,Stress,Timestamp,Usefulness,Gender,Age,Impulsivity[Imp1],Impulsivity[Imp2],Impulsivity[Imp3],Impulsivity[Imp4],Impulsivity[Imp5],Impulsivity[Imp6],Impulsivity[Imp7],Impulsivity[Imp8],Impulsivity[Imp9],Impulsivity[Imp10],Impulsivity[Imp11],Impulsivity[Imp12],Impulsivity[Imp13],Impulsivity[Imp14],Impulsivity[Imp15],Anxiety[Anx1],Anxiety[Anx2],Anxiety[Anx3],Anxiety[Anx4],Anxiety[Anx5],SelfControl[SC1],SelfControl[SC2],SelfControl[SC3],SelfControl[SC4],SelfControl[SC5],SelfControl[SC6],SelfControl[SCATC],SelfControl[SC7],SelfControl[SC8],SelfControl[SC9],SelfControl[SC10],SelfControl[SC11],SelfControl[SC12],SelfControl[SC13],FOMO[Fomo1],FOMO[Fomo2],FOMO[Fomo3],FOMO[Fomo4],FOMO[Fomo5]
True,5069d714c34fe3dd,Instagram,True,-3,0,5,Vibration,5,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,5,7,No,alone,0,Mar 19 18:48:45,5,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,0,2,SpotOverlay,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,3,2,3,No,alone,0,Mar 22 21:23:00,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-2,2,4,Pop-Up,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,5,No,alone,0,Mar 22 14:11:50,3,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,YouTube,True,2,176,5,SpotOverlay,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,7,Yes,alone,0,Mar 19 07:45:56,4,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,,True,-3,0,2,SpotOverlay,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,3,2,6,No,alone,0,Mar 19 23:49:47,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,,True,-2,0,4,Pop-Up,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,6,Yes,friends,0,Mar 22 11:00:02,4,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,YouTube,True,-1,299,3,SpotOverlay,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,3,3,Yes,alone,0,Mar 20 07:36:45,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,27,2,Vibration,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,3,2,4,No,alone,0,Mar 21 21:30:45,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,0,5,SpotOverlay,9,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,2,No,alone,0,Mar 23 21:52:03,5,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,104,2,SpotOverlay,5,56d7623f04c67d000c7b9de6,4,4,4,4,4,3,2,2,No,alone,0,Mar 23 09:58:39,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
